НОМЕР ИГРЫ,ID ИГРЫ,ТЕКУЩЕЕ ВРЕМЯ,ВРЕМЯ ИГРЫ,ЛИГА,КОМАНДА 1,КОМАНДА 2
0,33738089,11-04-2022 12:58, ,Настольный теннис. TT-Cup. Чехия,Ходэй А,Ковач С
1,33729404,11-04-2022 12:58, ,Настольный теннис,Ханевский А,Смирнов М
2,33695498,11-04-2022 12:58, ,Настольный теннис. TT Trophy. Венгрия,Рамос-Виньолас А,Грикспор Таллон
3,33737993,11-04-2022 12:58, ,Настольный теннис. Россия. Лига Про А3. Москва,Исахакян Г,Хачатрян А
4,33730193,11-04-2022 12:58, ,Настольный теннис. TT-Cup,Клочко И,Промский В
5,33728948,11-04-2022 12:58, ,Настольный теннис. Россия. Лига Про А4. Москва,Астреев Р,Кутин В
6,33745682,11-04-2022 12:58, ,Настольный теннис. Чехия. Лига Про А12. Либерец,Ливерпуль (rambeez),Бавария (Miliy)
7,33738718,11-04-2022 12:58, ,Настольный теннис. Беларусь. Лига Про А15. Минск,Бавария (ZLAYAPANTERA),Байер 04 (XANOT1K)
8,33729904,11-04-2022 12:58, ,Настольный теннис. Россия. Лига Про А5. Москва,Никулин С,Маршалов В
9,33746152,11-04-2022 12:58, ,Настольный теннис. Россия. Лига Про А6. Москва,Кавкасия,Орби
10,33739189,11-04-2022 12:58, ,Настольный теннис. Чехия. Лига Про А14. Либерец,Кантер А,Шоу М
11,33739398,11-04-2022 12:58, ,Настольный теннис. ITT Cup. Чехия,Цингале Р-Э,Арчидьяконо Ф
