НОМЕР ИГРЫ,ID ИГРЫ,ТЕКУЩЕЕ ВРЕМЯ,ВРЕМЯ ИГРЫ,ЛИГА,КОМАНДА 1,КОМАНДА 2
0,33733579,11-04-2022 12:58, ,Футбол,Сан Хосе Шаркс (CHOPPER007),Сиэтл Кракен (PAHATHEBEST)
1,33740727,11-04-2022 12:58, ,Футбол. Австралия. Виктория. Национальная Премьер-лига-2,Илбирс,Нефтчи Кочкор-Ата
2,33740702,11-04-2022 12:58, ,Футбол. Юж.Корея. Челлендж Лига,ФК Гоа 2,Спортинг Гоа
3,33739731,11-04-2022 12:58, ,Футбол. Киргизия. Высшая Лига,Эстеве-Лобато Э,Рока-Баталья О
4,33739846,11-04-2022 12:58, ,Футбол. Индия. Чемпионат Гоа,Форти Ф,Тюрнев Е
5,33739408,11-04-2022 12:58, ,Футбол. Жен. До 23 лет. Товарищеские матчи. Сборные,Кемпен М,Эпплтон Э
6,33715841,11-04-2022 12:58, ,Футбол. Австралия. Gold Coast Midweek Metro,Буллин Лайонс,Лангваррин
7,33740645,11-04-2022 12:58, ,Футбол. Австралия. Кубок,Серферз Пэрэдайз Уайт,Тамборин Маунтин Иглс
8,33739191,11-04-2022 12:58, ,Футбол. Вьетнам. Кубок,Хигнетт Л,Меллер Э
9,33695490,11-04-2022 12:58, ,Футбол. Жен. До 19 лет. Чемпионат Европы. Квалификация,Фоньини Ф,Риндеркнеш А
10,33736678,11-04-2022 12:58, ,Футбол. До 19 лет. Турция. Чемпионат,Биньфыок,Куангнам
